concept;prefLabel;narrowMatch;broadMatch;closeMatch;altLabel
http://example.org/skos/libri_thesauri_68;Poznań Literary Award;;;http://www.wikidata.org/entity/Q30909572,https:/bn-lit-skos.lab.dariah.pl/scheme/Poznanska_Nagroda_Literacka;Poznanska_Nagroda_Literacka@pl
http://example.org/skos/libri_thesauri_67;Pre-romanticism;;;http://www.wikidata.org/entity/Q2614483,https:/bn-lit-skos.lab.dariah.pl/scheme/Preromantyzm;Preromantyzm@pl
http://example.org/skos/libri_thesauri_66;Historical-literary process;;;http://www.wikidata.org/entity/Q4263850,https:/bn-lit-skos.lab.dariah.pl/scheme/Proces_historycznoliteracki;Proces_historycznoliteracki@pl
http://example.org/skos/libri_thesauri_64;Literary program;;;http://www.wikidata.org/entity/Q11827551,https:/bn-lit-skos.lab.dariah.pl/scheme/Program_literacki;Program_literacki@pl
http://example.org/skos/libri_thesauri_62;poetic prose;;;http://www.wikidata.org/entity/Q15890340,https:/bn-lit-skos.lab.dariah.pl/scheme/Proza_poetycka;Proza_poetycka@pl
http://example.org/skos/libri_thesauri_59;Translations;;;http://www.wikidata.org/entity/Q109090652,https:/bn-lit-skos.lab.dariah.pl/scheme/Przeklady_polskie;Przeklady_polskie@pl
http://example.org/skos/libri_thesauri_56;Pure nonsense;;;http://www.wikidata.org/entity/Q11831848,https:/bn-lit-skos.lab.dariah.pl/scheme/Pure_nonsense;Pure_nonsense@pl
http://example.org/skos/libri_thesauri_54;retelling;;;http://www.wikidata.org/entity/Q252370,https:/bn-lit-skos.lab.dariah.pl/scheme/Retelling;Retelling@pl
http://example.org/skos/libri_thesauri_52;Executed Renaissance;;;http://www.wikidata.org/entity/Q4390519,https:/bn-lit-skos.lab.dariah.pl/scheme/Rozstrzelane_odrodzenie;Rozstrzelane_odrodzenie@pl
http://example.org/skos/libri_thesauri_51;Ruba'i;;;http://www.wikidata.org/entity/Q250090,https:/bn-lit-skos.lab.dariah.pl/scheme/Rubajjat;Rubajjat@pl
http://example.org/skos/libri_thesauri_9872;poetry slam;;http://example.org/concepts/libri_thesauri_5706;http://www.wikidata.org/entity/Q20852,http://www.yso.fi/onto/yso/p24219,https:/bn-lit-skos.lab.dariah.pl/scheme/Slam_poetycki;lavarunous@fi,Slam_poetycki@pl
http://example.org/skos/libri_thesauri_45;Śląski Wawrzyn Literacki;;;http://www.wikidata.org/entity/Q9395567,https:/bn-lit-skos.lab.dariah.pl/scheme/Slaski_Wawrzyn_Literacki;Slaski_Wawrzyn_Literacki@pl
http://example.org/skos/libri_thesauri_43;soliloquy;;;http://www.wikidata.org/entity/Q184528,https:/bn-lit-skos.lab.dariah.pl/scheme/Solilokwium;Solilokwium@pl
http://example.org/skos/libri_thesauri_7106;text;http://example.org/concepts/libri_thesauri_7106,http://example.org/concepts/libri_thesauri_2924,http://example.org/concepts/libri_thesauri_13378,http://example.org/concepts/libri_thesauri_4714,http://example.org/concepts/libri_thesauri_2806,http://example.org/concepts/libri_thesauri_3352,http://example.org/concepts/libri_thesauri_6208,http://example.org/concepts/libri_thesauri_7105;http://example.org/concepts/libri_thesauri_7106,http://example.org/concepts/libri_thesauri_4714;http://www.wikidata.org/entity/Q234460,http://www.yso.fi/onto/yso/p16697,https:/bn-lit-skos.lab.dariah.pl/scheme/Tekst,https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph124767,https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph126631;tekstit@fi,psané texty@cs,texty@cs,Tekst@pl
http://example.org/skos/libri_thesauri_29;literary tradition;;;http://www.wikidata.org/entity/Q9360679,https:/bn-lit-skos.lab.dariah.pl/scheme/Tradycja_literacka;Tradycja_literacka@pl
http://example.org/skos/libri_thesauri_28;Tragic nature, Tragedy;;;http://www.wikidata.org/entity/Q9360692,https:/bn-lit-skos.lab.dariah.pl/scheme/Tragizm;Tragizm@pl
http://example.org/skos/libri_thesauri_27;Threnodies, Laments;;;http://www.wikidata.org/entity/Q109269011,https:/bn-lit-skos.lab.dariah.pl/scheme/Treny;Treny@pl
http://example.org/skos/libri_thesauri_25;Turpism;;;http://www.wikidata.org/entity/Q9363034,https:/bn-lit-skos.lab.dariah.pl/scheme/Turpizm;Turpizm@pl
