entity,source
Archie Greene,Biblioteka Narodowa - kartoteka autorytatywna
Poliszynel,Biblioteka Narodowa - kartoteka autorytatywna | Słownik postaci literackich (Makowiecki)
Zosia z Ulicy Kociej,Biblioteka Narodowa - kartoteka autorytatywna
Naruto,Biblioteka Narodowa - kartoteka autorytatywna
Batman,Biblioteka Narodowa - kartoteka autorytatywna
Petra Delicado,Biblioteka Narodowa - kartoteka autorytatywna
Mała Syrena,Biblioteka Narodowa - kartoteka autorytatywna
Violet Hayes,Biblioteka Narodowa - kartoteka autorytatywna
Supergirl,Biblioteka Narodowa - kartoteka autorytatywna
Pan Kleks,Biblioteka Narodowa - kartoteka autorytatywna | Bohaterowie naszych książek. Leksykon
Tomek Łebski,Biblioteka Narodowa - kartoteka autorytatywna
Rudolf Gąbczak,Biblioteka Narodowa - kartoteka autorytatywna
Doktor Dolittle,Biblioteka Narodowa - kartoteka autorytatywna | Bohaterowie naszych książek. Leksykon
Pan Samochodzik,Szkolny słownik bohaterów literackich | Biblioteka Narodowa - kartoteka autorytatywna | Bohaterowie naszych książek. Leksykon
Roland Deschain,Biblioteka Narodowa - kartoteka autorytatywna
Vampirina,Biblioteka Narodowa - kartoteka autorytatywna
Markiz Fotofero,Biblioteka Narodowa - kartoteka autorytatywna
Pan Cogito,1600 postaci literackich | Biblioteka Narodowa - kartoteka autorytatywna | 100 bohaterów lektur | Szkolny słownik bohaterów literackich | Słownik bohaterów literackich
Ross Poldark,Biblioteka Narodowa - kartoteka autorytatywna
Kornelia Pliszka,Biblioteka Narodowa - kartoteka autorytatywna
Anna Serafin,Biblioteka Narodowa - kartoteka autorytatywna
Dariusz Suder,Biblioteka Narodowa - kartoteka autorytatywna
Mitch Rapp,Biblioteka Narodowa - kartoteka autorytatywna
Ariol,Biblioteka Narodowa - kartoteka autorytatywna
Nelly Rapp,Biblioteka Narodowa - kartoteka autorytatywna
Hazel Wong,Biblioteka Narodowa - kartoteka autorytatywna
Daisy Wells,Biblioteka Narodowa - kartoteka autorytatywna
Sookie Stackhouse,Biblioteka Narodowa - kartoteka autorytatywna
Tristan i Izolda,Biblioteka Narodowa - kartoteka autorytatywna
David Raker,Biblioteka Narodowa - kartoteka autorytatywna
David Grief,Biblioteka Narodowa - kartoteka autorytatywna
