entity,source
Biblioteka Narodowa Białorusi,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Narodowa Francji,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Narodowa i Uniwersytecka,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Narodowa Meksyku,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Narodowa Republiki Tatarstanu,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Narodowa Tajlandii,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Narodowego Instytutu Fryderyka Chopina,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka naukowa,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Naukowa Białowieskiego Parku Narodowego,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Naukowa Grodzieńskiego Państwowego Uniwersytetu im. Janki Kupały,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Naukowa Odeskiego Uniwersytetu Narodowego im. I. I. Miecznikowa,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Naukowa Polskiego Towarzystwa Ludoznawczego,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Naukowa Polskiej Akademii Umiejętności i Polskiej Akademii Nauk,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Niemiecka i Medioteka Języka Niemieckiego,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Obłuże,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Ogniska Kolejowego Przysposobienia Wojskowego,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Okręgowa,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Opactwa Cystersów,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Opactwa Saint-Denis,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Opactwa w Pontigny,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Ośrodka Dydaktycznego w Rybniku,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Państwowej Wyższej Szkoły Gospodarstwa Wiejskiego,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Państwowej Wyższej Szkoły Zawodowej,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Państwowej Wyższej Szkoły Zawodowej,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Parlamentu Węgierskiego,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Pedagogiczna,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Pedagogiczna,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Pedagogiczna,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Pisarzy Prowincji Małopolskiej Towarzystwa Jezusowego,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka po estestvennym naukam,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Politechniki Koszalińskiej,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Polonistyki i Informacji Naukowej,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Polska,Biblioteka Narodowa - kartoteka autorytatywna
