entity,source
Jakob Streit,Biblioteka Narodowa - kartoteka autorytatywna
Êlizavêta Arkad'evna Mnacakanova,Biblioteka Narodowa - kartoteka autorytatywna
Jenaro Talens,Biblioteka Narodowa - kartoteka autorytatywna
Anthony Fankhauser,Biblioteka Narodowa - kartoteka autorytatywna
Levko Ìvanovič Borovikovs'kij,Biblioteka Narodowa - kartoteka autorytatywna
Zdzisław Kieszkowski,Biblioteka Narodowa - kartoteka autorytatywna
Lyle Saxon,Biblioteka Narodowa - kartoteka autorytatywna
Lisa Gardner,Biblioteka Narodowa - kartoteka autorytatywna
Aleksandr Abramovič Isbah,Biblioteka Narodowa - kartoteka autorytatywna
Mihail Nikolaevič Ûhma,Biblioteka Narodowa - kartoteka autorytatywna
Vera Lysenko,Biblioteka Narodowa - kartoteka autorytatywna
Paul Novick,Biblioteka Narodowa - kartoteka autorytatywna
Elmore Leonard,Biblioteka Narodowa - kartoteka autorytatywna
Tanith Lee,Biblioteka Narodowa - kartoteka autorytatywna
Matthias Mander,Biblioteka Narodowa - kartoteka autorytatywna
Dorota Macyk,Biblioteka Narodowa - kartoteka autorytatywna
Christian Gotthilf Salzmann,Biblioteka Narodowa - kartoteka autorytatywna
Ireneusz Makowski,Biblioteka Narodowa - kartoteka autorytatywna
Ûrij Vasil'evič Bujda,Biblioteka Narodowa - kartoteka autorytatywna
Max Brand,Biblioteka Narodowa - kartoteka autorytatywna
Patricia Moyes,Biblioteka Narodowa - kartoteka autorytatywna
Regina Kantarska-Koper,Biblioteka Narodowa - kartoteka autorytatywna
Andrzej Kanclerz,Biblioteka Narodowa - kartoteka autorytatywna
Maurice Donnay,Biblioteka Narodowa - kartoteka autorytatywna
Jan Kalinka,Biblioteka Narodowa - kartoteka autorytatywna
Adam Kalbarczyk,Biblioteka Narodowa - kartoteka autorytatywna
Maria Józefacka,Biblioteka Narodowa - kartoteka autorytatywna
José Juan Tablada,Biblioteka Narodowa - kartoteka autorytatywna
