term,variant,Lemma_1,Lemma_2,source,same_as:National_Library_of_Poland,same_as:Wikidata
aktywizm,,aktywizm,,Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
alankara,,alankara,,Słownik Terminów Literackich (Głowiński),,
alba,,alba,,"Słownik terminów literackich (Sierotwiński) | Słownik Terminów Literackich (Głowiński) | Słownik rodzajów i gatunków literackich (Grzegorz Gazda) | Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",,
albertus,,albertusy,albertus,"Słownik Terminów Literackich (Głowiński) | Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",,
album,,album,,Słownik terminów literackich (Sierotwiński) | Słownik Terminów Literackich (Głowiński) | Słownik literatury polskiej | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
albumowy,,albumowy,,Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
alcejska strofa,,alcejski strofa,,Słownik Terminów Literackich (Głowiński),,
alcejskie miary,,alcejski miara,,Słownik Terminów Literackich (Głowiński),,
aldyna,,aldyna,,Słownik Terminów Literackich (Głowiński),,
alegoreza,,alegoreza,,"Słownik pojęć i tekstów kultury | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia | Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich",,
alegoria,,alegoria,,"Słownik terminów literackich (Sierotwiński) | Epoki literackie. Wielki leksykon literatury polskiej | Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Ilustrowany słownik terminów literackich | Od teorii do literatury. Słownik literacki | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski) | Słownik literatury polskiej | Słownik polskiej krytyki literackiej 1764-1918 | Słownik literatury staropolskiej | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik terminów teatralnych (Patrice Pavis)",,
alegoryczność,,alegoryczność,,Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
alegoryczny,,alegoryczny,,Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
alegoryzacja,,alegoryzacja,,Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
alegoryzm,,alegoryzm,,Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
aleksandreidy,,aleksandreida,,"Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński) | Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",,
aleksandryn,,aleksandryn,,Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
aleksandrynizm,,aleksandrynizm,,,,
aleksandryt,,aleksandryt,,Słownik Terminów Literackich (Głowiński),,
alfabet,,alfabet,,Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik pojęć i tekstów kultury,,
aliteracja,,aliteracja,,Słownik terminów literackich (Sierotwiński) | Słownik Terminów Literackich (Głowiński) | Od teorii do literatury. Słownik literacki | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Słownik egzemplaryczny: 44 środków artystycznego wyrazu | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,http://data.bn.org.pl/api/institutions/authorities.json?marc=009+9810591461305606,http://www.wikidata.org/entity/Q484495
aliteracja inicjalna,,aliteracja inicjalny,,Słownik pojęć i tekstów kultury,,
alkmański wiersz,,alkmański wiersz,,Słownik Terminów Literackich (Głowiński),,
allegorical novel,,allegorical novel,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
allegorical political verse satire,,allegorical political verse satire,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
alleluja,,alleluja,,Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
allonim,,allonim,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
almanach,,almanach,,"Epoki literackie. Wielki leksykon literatury polskiej | Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Ilustrowany słownik terminów literackich | Od aforyzmu do zinu. Gatunki twórczości słownej | Słownik rodzajów i gatunków literackich (Grzegorz Gazda) | Słownik literatury polskiej | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",,
almanach literacki,,almaen literacki,,Słownik terminów literackich (Sierotwiński),,
alogizm,,alogizm,,Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
alograf,,alograf,,Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
alokucja,,alokucja,,Słownik terminów literackich (Sierotwiński),,
alonim,,alonim,,Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
altercatio,,altercatio,,Słownik Terminów Literackich (Głowiński),,
alternacja,,alternacja,,Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
alternatywny,,alternatywny,,Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
aluzja,,aluzja,,Od teorii do literatury. Słownik literacki | Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,http://data.bn.org.pl/api/institutions/authorities.json?marc=009+9812392406505606,http://www.wikidata.org/entity/Q506667
aluzja brzmieniowa,,aluzja brzmieniowy,,Słownik terminów literackich (Sierotwiński),,
aluzja filmowa,,aluzja filmowy,,Słownik pojęć i tekstów kultury,,
aluzja historyczna,,aluzja historyczny,,Słownik terminów literackich (Sierotwiński),,
aluzja literacka,,aluzja literacki,,Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Słownik literatury polskiej,http://data.bn.org.pl/api/institutions/authorities.json?marc=009+9810564782005606,http://www.wikidata.org/entity/Q9149238
aluzja mitologiczna,,aluzja mitologiczny,,Słownik terminów literackich (Sierotwiński),,
aluzja teatralna,,aluzja teatralny,,Słownik pojęć i tekstów kultury,,
aluzyjny,,aluzyjny,,Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
amadisy,,amadis,,Słownik terminów literackich (Sierotwiński),,
amator,,amator,,Słownik pojęć i tekstów kultury,,
amatorski,,amatorski,,Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
ambiguity,,ambiguity,,Słownik Terminów Literackich (Głowiński),,
ambiwalencja metryczna,,ambiwalencja metryczny,,Słownik terminów literackich (Sierotwiński),,
ambiwalencja stroficzna,,ambiwalencja stroficzny,,Słownik terminów literackich (Sierotwiński),,
ambiwalentny,,ambiwalentny,,Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
ambrozjańska strofa,,ambrozjański strofa,,Słownik Terminów Literackich (Głowiński),,
ambrozjański,,ambrozjański,,Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
amerykańska szkoła strukturalna,,amerykański szkoła strukturalny,,Słownik Terminów Literackich (Głowiński),,
"amerykański ""przemysł interpretacyjny""",,"amerykański "" przemysł interpretacyjny """,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
amfibolia,,amfibolia,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
amfibologia,,amfibologia,,Słownik Terminów Literackich (Głowiński),,
amfibrach,,amfibrach,,Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
amfibrachy wolne,,amfibrach wolny,,Słownik terminów literackich (Sierotwiński),,
amfimacer,,amfimacer,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
amfimakr,,amfimakr,,Słownik terminów literackich (Sierotwiński),,
amfiteatr,,amfiteatr,,Słownik pojęć i tekstów kultury,,
amoibajos,,amoibajos,,Słownik Terminów Literackich (Głowiński),,
amoralizm,,amoralizm,,Słownik pojęć i tekstów kultury,,
amorfizm,,amorfizm,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
amplificatio,,amplificatio,,Słownik Terminów Literackich (Głowiński),http://data.bn.org.pl/api/institutions/authorities.json?marc=009+9812852906405606,
amplifikacja,,amplifikacja,,Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
amplifikacja tekstu,,amplifikacja tekst,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
anachronizm,,anachronizm,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
anadiploza,,anadiploza,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
anafora,,anafora,,Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Od teorii do literatury. Słownik literacki | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Mały słownik terminów teorii tekstu | Słownik egzemplaryczny: 44 środków artystycznego wyrazu | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,http://data.bn.org.pl/api/institutions/authorities.json?marc=009+9810576999505606,
anagnoryzm,,anagnoryzm,,Słownik terminów literackich (Sierotwiński) | Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik terminów teatralnych (Patrice Pavis),,
